SECTOR,AREA,LATITUDE,LONGITUDE,H_MIX,H_M_INDUSTRY,H_M_COMERCE,H_M_SERVICES,H_M_AGRICULTURAL,H_NR_INDUSTRY,H_NR_COMERCE,H_NR_SERVICES,H_NR_AGRICULTURAL,H_NR_INSTITUTE,H_NR_LAND,H_NR_PARK,H_NR_MINING,H_NR_COSERV,HOUSES,HOMES,ELECTRIC,STRATA_1,STRATA_2,STRATA_3,STRATA_4,STRATA_5,STRATA_6,AQUEDUCT,SEWAGE,GAS,GARBAGE,INTERNET,POPULATION,MEN,WOMEN,PEOPLE_0_9,PEOPLE_10_19,PEOPLE_20_29,PEOPLE_30_39,PEOPLE_40_49,PEOPLE_50_59,PEOPLE_60_69,PEOPLE_70_79,PEOPLE_80,HIGH_ED,DENSITY,YEAR,MONTH,CASES,TEMP_MEAN,PRECIP_TOT,WET_DAYS,DAYS_OV_90,ELEVATION,NDVI
11,1209641.941,4.451015623,-75.20326919,0.027264982,0.001278046,0.016756603,0.009230332,0,0.002272082,0.030957114,0.0194547,0,0.004544164,0.005112184,0.001562056,0,0,7042,0.760437376,0.743112752,0.187872763,0.317949446,0.144561204,0.076256745,0.013348481,0.00028401,0.730474297,0.711871627,0.71556376,0.738994604,0.472166998,785,0.466496653,0.533503347,0.121389863,0.152948677,0.176346828,0.138540006,0.127574115,0.128020402,0.087344597,0.042907236,0.024928275,0.304622251,0.012966647,2013,1,14,18.58387097,62.89608647,3,4,1131.219029,0.37866679
12,859369.5845,4.449790612,-75.18019695,0.041004862,0.001620746,0.027066451,0.012155592,0.000162075,0.002431118,0.028038898,0.014262561,0.000162075,0.001944895,0.020097245,0.003241491,0,0.000162075,6170,0.895623987,0.843435981,0.240518639,0.420745543,0.092058347,0.073419773,0.015397083,0.000486224,0.838249595,0.832414911,0.816045381,0.837439222,0.468233387,836,0.471678928,0.528321072,0.12973264,0.157126622,0.17016568,0.138345595,0.122734613,0.122435552,0.084993122,0.048089001,0.026377176,0.235660028,0.019454959,2013,1,9,18.58387097,62.89608647,3,4,1054.945478,0.337915771
13,527315.9078,4.443475553,-75.18598092,0.01955459,0.001357958,0.013307985,0.004888647,0,0.000814775,0.013851168,0.016838675,0,0.002987507,0.008690929,0.003802281,0,0,3682,0.737099402,0.72949484,0.037479631,0.038837588,0.470396524,0.181151548,0.000543183,0,0.714828897,0.714828897,0.687398153,0.722705052,0.622487778,395,0.462533283,0.537466717,0.10460251,0.138582477,0.156586788,0.142259414,0.134905541,0.138075314,0.108786611,0.050209205,0.025992139,0.454418664,0.014956879,2013,1,4,18.58387097,62.89608647,3,4,1055.00951,0.364762077
14,358871.6615,4.441373856,-75.19424131,0.024056327,0.001760219,0.014472912,0.007823196,0,0.003911598,0.030510464,0.022687268,0,0.005085077,0.000977899,0.001564639,0,0,5113,0.929982398,0.910619988,0.081947976,0.380794054,0.429297868,0.011343634,0.000977899,0.00078232,0.911402308,0.908468609,0.883434383,0.905926071,0.624486603,660,0.467783505,0.532216495,0.104760461,0.138644633,0.177759248,0.140160703,0.125909642,0.122271073,0.091343238,0.066176471,0.03297453,0.301318981,0.036759659,2013,1,39,18.58387097,62.89608647,3,4,1092.614375,0.269859619
15,532451.8627,4.438934622,-75.20436505,0.012529943,0.000184264,0.008476138,0.003869541,0,0.000921319,0.079786254,0.039432467,0.000368528,0.002579694,0.013451262,0.002026903,0,0.000184264,5427,0.852957435,0.847060991,0.00571218,0.04625023,0.34365211,0.435784043,0.013635526,0.000552792,0.846139672,0.846876727,0.825686383,0.846323936,0.7083103,619,0.447927608,0.552072392,0.094368587,0.12369718,0.149632383,0.133796558,0.125636261,0.139694595,0.12224287,0.074977781,0.035953785,0.456087905,0.023245294,2013,1,5,18.58387097,62.89608647,3,4,1138.912593,0.305316839
16,412481.7973,4.439513044,-75.2153085,0.019784623,0.000751315,0.016779364,0.002253944,0,0.000751315,0.057600801,0.020035061,0,0.003506136,0.006260957,0.001753068,0,0,3993,0.828199349,0.820936639,0.016779364,0.330578512,0.434009517,0.03606311,0.000751315,0,0.821437516,0.821187077,0.779614325,0.819934886,0.516153268,455,0.453016815,0.546983185,0.101219914,0.137048027,0.166282009,0.134630179,0.126277613,0.13419057,0.099571381,0.063523464,0.037256841,0.31607869,0.022059155,2013,1,7,18.58387097,62.89608647,3,4,1185.412709,0.297638648
17,129335.8806,4.44159655,-75.22390699,0.04318618,0,0.034548944,0.008637236,0,0.007677543,0.3378119,0.061420345,0,0.011516315,0.004798464,0.001919386,0,0,1042,0.838771593,0.813819578,0.008637236,0.047984645,0.716890595,0.038387716,0.000959693,0,0.810940499,0.812859885,0.754318618,0.812859885,0.545105566,121,0.450704225,0.549295775,0.085749793,0.122203811,0.135459818,0.129246065,0.127174814,0.142502071,0.123032312,0.082021541,0.052609776,0.387323944,0.018664581,2013,1,5,18.58387097,62.89608647,3,4,1212.114708,0.250878916
18,198995.85,4.442726527,-75.230494,0.055201699,0.002123142,0.041755131,0.011323425,0,0.01556971,0.346072187,0.043878273,0,0.01556971,0.00353857,0,0,0,1413,0.846426044,0.818117481,0.007784855,0.06581741,0.646850672,0.091295117,0.002830856,0,0.818117481,0.815994338,0.738853503,0.81457891,0.417551309,163,0.454545455,0.545454545,0.088452088,0.126535627,0.156633907,0.11977887,0.121621622,0.156633907,0.106879607,0.071560197,0.051904177,0.318181818,0.01636215,2013,1,4,18.58387097,62.89608647,3,4,1233.536012,0.242721536
19,74409.80702,4.4447673,-75.23458651,0.020304569,0.001692047,0.013536379,0.005076142,0,0.011844332,0.138747885,0.101522843,0,0.013536379,0.003384095,0,0,0,591,0.878172589,0.876480541,0.013536379,0.0321489,0.407783418,0.287648054,0.121827411,0,0.876480541,0.873096447,0.813874788,0.876480541,0.668358714,65,0.451737452,0.548262548,0.078764479,0.118918919,0.163706564,0.117374517,0.131274131,0.137451737,0.114285714,0.091891892,0.046332046,0.488803089,0.01740362,2013,1,0,18.58387097,62.89608647,3,4,1250.764154,0.266682892
20,108565.8929,4.446031675,-75.23861147,0.023051592,0.00219539,0.016465423,0.004390779,0,0.013172338,0.13830955,0.057080132,0,0.001097695,0.006586169,0.00219539,0.001097695,0,911,0.848518112,0.836443469,0.014270033,0.080131723,0.481888035,0.246981339,0.003293085,0,0.830954995,0.828759605,0.777167947,0.830954995,0.576289791,95,0.452820242,0.547179758,0.085397997,0.119662625,0.152872957,0.125461255,0.119135477,0.154454402,0.119135477,0.072746442,0.051133368,0.435424354,0.017473259,2013,1,4,18.58387097,62.89608647,3,4,1267.41609,0.335679589
